sourceNodeIndex,targetNodeIndex,weight
793,938,41.78814
793,826,0.0
793,1179,41.82326
793,1377,41.78814
793,1061,27.69322
793,738,41.78814
793,394,0.0
793,512,0.0
793,36,35.348938
1139,1269,0.0
1139,151,0.0
1139,211,18.852293
1139,417,0.0
1139,692,18.852293
231,511,0.0
231,939,23.392765
231,1198,43.826
231,1189,43.826
231,90,0.0
1068,1417,0.0
1068,339,0.0
1068,942,32.342396
1068,684,0.0
1068,809,32.342396
1244,1097,0.0
1244,783,0.0
1309,362,0.0
1309,758,0.0
1207,348,10.34262
1207,324,9.6482725
1207,577,9.6482725
1207,733,9.6482725
1207,334,0.0
1207,132,46.05155
1207,1002,0.0
1100,1256,46.79628
1100,1185,18.3191
1100,1220,46.79628
1100,1182,0.0
1100,872,18.3191
1100,63,40.61051
1100,226,46.96682
1100,34,0.0
1100,99,17.263432
968,1132,0.0
968,950,0.0
968,606,13.714091
968,727,0.0
968,595,13.714091
968,189,0.0
968,570,0.0
1044,989,39.195984
1044,605,0.0
1044,190,37.31829
356,1136,0.0
356,1039,42.261364
356,1408,41.132107
356,168,0.0
356,260,0.0
147,690,20.110392
147,716,30.522018
147,1019,30.522018
147,527,0.0
147,646,0.0
147,608,33.354225
147,452,0.0
147,1091,0.0
147,1092,30.522018
147,71,30.522018
149,869,0.0
1336,1340,26.71669
1336,461,0.0
1336,724,0.0
1336,635,39.93194
1336,1008,17.647589
1336,819,0.0
1336,909,0.0
1336,310,16.966633
1336,420,39.93194
1336,1135,38.69037
1336,865,16.966633
690,1039,0.0
690,1138,0.0
690,1091,21.150713
690,1184,0.0
690,147,20.110392
690,646,40.386116
690,608,40.386116
690,260,48.76166
690,452,0.0
690,37,0.0
690,109,30.068441
690,407,0.0
851,1175,0.0
851,1416,0.0
851,1433,0.0
851,1057,0.0
851,397,41.7221
851,493,41.7221
851,702,41.7221
851,60,38.953228
100,528,40.08416
100,1331,0.0
100,1320,27.529892
100,378,0.0
100,462,40.08416
100,277,39.251575
100,678,0.0
100,1277,0.0
100,677,17.785337
100,1288,17.785337
100,996,40.08416
100,1306,40.08416
100,703,41.89311
1195,1454,35.00114
1195,337,9.564394
1195,1032,9.564394
1195,992,35.00114
1195,593,0.0
1195,830,9.564394
1195,418,0.0
998,1283,0.0
998,879,14.041232
128,441,0.0
128,507,0.0
128,1083,22.839596
128,450,0.0
1090,1341,42.349518
1090,1319,0.0
1090,344,42.349518
1090,805,8.889827
1090,891,8.889827
1090,98,9.33191
1090,558,8.889827
1090,985,9.33191
1090,287,42.460766
837,897,23.626207
837,1327,27.095982
837,1202,13.630897
837,124,13.630897
837,188,23.626207
837,597,0.0
837,737,0.0
837,55,0.0
837,504,13.582346
397,851,41.7221
397,493,0.0
397,702,0.0
397,1180,0.0
397,1057,41.7221
376,585,11.179097
376,1141,0.0
376,1444,14.69744
376,790,16.719841
376,228,0.0
950,968,0.0
950,983,0.0
950,966,24.131918
950,1132,0.0
950,280,24.131918
950,606,13.714091
950,57,24.131918
950,727,25.391962
950,595,0.0
950,165,24.131918
950,189,24.131918
950,383,41.165054
950,888,24.131918
950,309,41.165054
950,570,0.0
1025,54,32.427204
1025,232,0.0
1025,427,32.80608
1025,594,0.0
229,1134,0.0
229,1187,42.002037
229,1294,0.0
229,741,46.222553
229,389,42.002037
229,259,28.332603
229,1409,2.8084044
229,1084,26.93516
229,1234,38.87876
229,960,46.222553
229,460,26.93516
229,628,42.002037
