nodeIndex,speed_norm,jf_norm,conf,sin_hour,cos_hour,sin_dow,cos_dow,is_weekend
0,0.76470584,0.2,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.6470588,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
3,0.70454556,0.2,0.89,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
4,1.3214285,0.0,0.82,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0666666,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.7666666,0.12,0.86,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0400001,0.0,0.94,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
11,0.61538464,0.23,0.77,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
12,0.9565217,0.05,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
13,0.7948718,0.18,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.7297297,0.15,0.81,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
16,0.962963,0.02,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
17,0.7,0.0,0.73,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
18,1.2666667,0.0,0.93,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
21,0.7777778,0.17,0.92,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
22,0.76923084,0.1,0.74,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.9130435,0.0,0.73,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
25,0.74358964,0.15,0.72,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.0,0.94,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
28,0.8958333,0.09,0.84,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
29,0.7352941,0.23,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.1999999,0.0,0.78,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.8333334,0.14,0.87,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.8055555,0.17,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
38,0.97619045,0.02,0.99,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
39,1.0,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
40,0.21739131,0.89,0.99,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.0,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
43,1.12,0.0,0.89,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.8518519,0.13,0.99,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
46,1.0,0.0,0.95,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
47,0.962963,0.03,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
48,0.29999998,0.27,0.99,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.8749999,0.1,0.97,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
51,0.9,0.09,0.86,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1.2666667,0.0,0.91,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
55,0.48979592,0.39,0.9,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
56,1.34375,0.0,0.94,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
57,0.70967734,0.17,0.98,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
58,1.6511627,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.74285716,0.15,0.99,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.9736842,0.02,0.9,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
63,0.7380953,0.17,0.76,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
64,0.7741935,0.2,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.90624994,0.09,0.73,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
67,0.9333333,0.05,0.81,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
68,1.8399999,0.0,0.75,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
69,0.91176474,0.01,0.9,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
70,0.55263156,0.32,0.93,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
71,0.96000004,0.03,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
72,1.1304348,0.0,0.8,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
73,1.2,0.0,0.76,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
74,1.0,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
75,1.7666665,0.0,0.92,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1.0365855,0.0,0.99,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,0.01,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
82,0.78000003,0.19,0.78,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
83,0.7708333,0.19,0.96,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
84,1.0,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.7692308,0.14,0.9,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
88,1.15,0.0,0.86,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
89,1.6046512,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
90,1.0,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
91,1.12,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
92,1.0,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1.1111112,0.0,0.77,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
96,0.8181818,0.16,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
97,1.0217391,0.0,0.95,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
98,0.69230765,0.27,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.0,0.0,0.7,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
101,0.8999999,0.07,0.78,-0.7163019,0.69779044,-0.7818315,0.6234898,1.0
