nodeIndex,segmentId
0,edge:00161da711f46f25
1,edge:0040e4743a4ae6bf
2,edge:005d5d08d5d09816
3,edge:005e0e8596b6b394
4,edge:00ce979a9a78ab90
5,edge:00d66ba57f443457
6,edge:014baf5a4de6a9cf
7,edge:019a14939a484ae9
8,edge:01e50e21df089b6a
9,edge:01e52efddfc870eb
10,edge:02a82f83b900d44e
11,edge:02fdcd33874f6a0a
12,edge:03422ddeded880aa
13,edge:0365de20fdbb08cb
14,edge:037ee73e27e0c87b
15,edge:038eba6e2a2ee274
16,edge:03b44c79a70c428e
17,edge:03bea5dc27c2f5ed
18,edge:0412ec71ea4f76d1
19,edge:04237fcf6a7ef21a
20,edge:04deb76a2684ed8b
21,edge:050a80bd802083dd
22,edge:05ab7f3657321f6d
23,edge:05d20c94a262eb62
24,edge:05dee708e9637105
25,edge:060767f7f08b5daa
26,edge:0608bc86ebbf77db
27,edge:061054c5a8f9e989
28,edge:061337959e539f7d
29,edge:062364040e8e1893
30,edge:06304376e20dfd82
31,edge:064b0fde1912e53d
32,edge:06615984f1c70092
33,edge:0683b6054588733c
34,edge:068a70d3705d7ce9
35,edge:068aea0dfe6b44de
36,edge:06d7a11cb2152008
37,edge:06f3574e1d5f1d27
38,edge:0718929ec986a567
39,edge:072a2a6e75f50478
40,edge:073b1c57edea7a4c
41,edge:077f21e8bd9d4af4
42,edge:07d1452794a8bbe3
43,edge:07d41e8816546e65
44,edge:07d696ead2571db3
45,edge:07dc41fbc804d75e
46,edge:0800612416cdf849
47,edge:08156825c765819e
48,edge:0870aed47d06e50a
49,edge:089f82b57b166828
50,edge:08c1d16370b420c6
51,edge:08c35691c6b546f7
52,edge:08c4e83a4f5f5653
53,edge:08d5ecba4e35c0ba
54,edge:096a2219dab6dff7
55,edge:096b0e9e9bfd4745
56,edge:09a4449e85b50ae8
57,edge:09e41ab32b32bd60
58,edge:09f048e0b262c1bc
59,edge:0a51c2197dba0d21
60,edge:0a686cd4b0446cc7
61,edge:0a83d43d6dff2ba1
62,edge:0a8b96bf07530980
63,edge:0affbc5f726310a1
64,edge:0b0e7c7c5e54acda
65,edge:0b5e5e8d368c0555
66,edge:0b6d1187a1595fd7
67,edge:0b7062af1b1aef66
68,edge:0b71a0c00a81d70f
69,edge:0b8868390440a8df
70,edge:0b9dcdf7bd1fd137
71,edge:0bf8dc2a1a19601d
72,edge:0bffcc2dffbcfad5
73,edge:0c2c9b5ed4667410
74,edge:0c97c949b089692d
75,edge:0cc5a6124fbbaa26
76,edge:0cdad8be6e9a4ef2
77,edge:0cdd377f6638bdbd
78,edge:0cfef77b96cdb703
79,edge:0e005e9c59c4a01d
80,edge:0e05c2660a69d287
81,edge:0e4044db3c6bc574
82,edge:0e7af7ec80b02cfc
83,edge:0e93980d9a3742d8
84,edge:0ee589d317cde26a
85,edge:0ef41f509edbcf0b
86,edge:0f40818a49047b5f
87,edge:0f4dc688b0500b2b
88,edge:0f553cbbb93138be
89,edge:0f7ed8a7a26e385c
90,edge:0f9fcb1f81de8df4
91,edge:103eb11911f4b376
92,edge:107f0cc3af75c99d
93,edge:1095061e460bc669
94,edge:10b0103f2ec2beca
95,edge:110361c89c6ff42a
96,edge:1114f0ff2469e099
97,edge:113b2308a7eb007a
98,edge:1141db60bddf9234
99,edge:114dd64dffff065c
100,edge:11ae52026aa66458
101,edge:129937fae14bb4cd
102,edge:12c8a98202856bb2
103,edge:12eec4080e0ef5cb
104,edge:12f7b6f70953e1f4
105,edge:1304bc3e1995815c
106,edge:13377012e69bba75
107,edge:133f11da74f77a4c
108,edge:1371736aec07d941
109,edge:13a768e60f473b6e
110,edge:13a7d3b8c9ab9a26
111,edge:142b6d9c8bece857
112,edge:14417637d52ece82
113,edge:14659170c278f87b
114,edge:14bfdaca6b1a1efc
115,edge:14e3f364057df6cc
116,edge:14e6f032ab7f98b3
117,edge:155d48b69734b991
118,edge:15838f27ad9892fa
119,edge:15ea828064d24cd3
120,edge:15fc733e2f3a42a2
121,edge:161bb60cea4a175d
122,edge:1639c126b86743c1
123,edge:166711efcd9998af
124,edge:166e3c130c58f593
125,edge:16f154cc0fca420e
126,edge:16f5a5287e388ddd
127,edge:172c98624ee851c5
128,edge:1737d0f8f248ea2e
129,edge:175243b45d682913
130,edge:17df543e43f4ae6d
131,edge:184d09791a1beb83
132,edge:189fbb1f1f12cfdc
133,edge:18f10371c9e573cc
134,edge:18fa1700164736c1
135,edge:191c79b4a022a93f
136,edge:1963baefe93344ab
137,edge:19b3f8aa8e3cfe08
138,edge:19b844f918b9e96b
139,edge:19d55ae3044e0d9d
140,edge:1a1ed427d7600c69
141,edge:1a43098c289bb477
142,edge:1a4f4c71b14fc4db
143,edge:1abfda8db1a2e61b
144,edge:1af30c0f01438eff
145,edge:1b1a6920a0ca42ec
146,edge:1b2b1ec0ac63105f
147,edge:1b64aa2371b42d61
148,edge:1b8f8b7b87224491
149,edge:1b97c5c1ef3265e2
150,edge:1bad555d19ab25a2
151,edge:1bf746da77f44d99
152,edge:1bf9d88415a92e3d
153,edge:1c094c6b62b9b269
154,edge:1c0a62fc6ce61363
155,edge:1c0ce986a09b6fd7
156,edge:1c39c4c0ab0730ff
157,edge:1c4a5e7a5b1107bd
158,edge:1ca7dbeafa6ee30c
159,edge:1cabedfff8888410
160,edge:1cad2872d15e561d
161,edge:1cd5a3d6f2707c93
162,edge:1d2d794333ff0f4a
163,edge:1e7247caef24be2d
164,edge:1e76c04100a634d6
165,edge:1e9e54570df114b1
166,edge:1ef1c8422b63caf4
167,edge:1f2e8c4a0bbdec1b
168,edge:1f386453cfe5b608
169,edge:1f51923b80d4bbe2
170,edge:1f5ab8d4b9d1008b
171,edge:1f667f1fe0e260cb
172,edge:1fba587344c54b93
173,edge:1fc8a9a22e2c3133
174,edge:1fcbf26c8b630e9f
175,edge:1fd77427e407653d
176,edge:1fea9475431bf870
177,edge:20025034d56a2911
178,edge:20972b52e76e3d4f
179,edge:20ab6945a55749d1
180,edge:20c8c5448092de4b
181,edge:210744f7c440ca71
182,edge:211e7609cad64c50
183,edge:2123634b323c82d5
184,edge:2131e682f9548332
185,edge:214a14bdcb7f2231
186,edge:21582df156233754
187,edge:216e3f118e7e475a
188,edge:2182c58fd7f8f8bf
189,edge:218d28fa65ab4fdc
190,edge:21b6d44a528f4ce0
191,edge:21e9d4242f8b8b29
192,edge:21ea78087b0f2575
193,edge:21ee1d965c07b879
194,edge:2215cda1d07ff8f4
195,edge:22310699620f4233
196,edge:2238ce3310801429
197,edge:223ba7ce0afc0ad5
198,edge:22615390397f9bde
199,edge:22a577fe01d4b52a
200,edge:22afcae25a05794e
201,edge:22cd7ed1c6b7cd75
202,edge:234cd7e5ca128fdf
203,edge:234ce06eabe2c29a
204,edge:23e3b5dd5aa15176
205,edge:23fd302f9ab4424b
206,edge:240990257bbe8d0f
207,edge:2482e217639a2f14
208,edge:248a0ac41d133c1f
209,edge:249cf4d1469309dd
210,edge:24a3d39da36c8b3c
211,edge:24c5192203ce1a1f
212,edge:24dc1c696994bd4a
213,edge:2552b69065c2e489
214,edge:256379770b6945a0
215,edge:2577e4f3ec3e993c
216,edge:25a35ab25053dedd
217,edge:25a4f92b3a03f4cc
218,edge:25acc11b5f96c445
219,edge:25ede15e0696fd54
220,edge:25f4639973e32fa9
221,edge:25f5f953d75dbdc1
222,edge:260613fcc2f66503
